name,code
万事利,301066
迎丰股份,605055
山东华鹏,603021
国药股份,600511
华林证券,002945
牧高笛,603908
哈焊华通,301137
欣贺股份,003016
海德股份,000567
回盛生物,300871
中科信息,300678
*ST丹邦,002618
韶能股份,000601
金春股份,300877
迈为股份,300751
爱美客,300896
中远海能,600026
吉艾科技,300309
ST中安,600654
*ST百花,600721
漱玉平民,301017
时空科技,605178
晶晨股份,688099
声迅股份,003004
创耀科技,688259
上海雅仕,603329
安源煤业,600397
科思股份,300856
汇隆新材,301057
迪阿股份,301177
国信证券,002736
立讯精密,002475
ST大洲,000571
江化微,603078
海星股份,603115
南纺股份,600250
华纺股份,600448
博力威,688345
锦龙股份,000712
兰州银行,001227
艾为电子,688798
中自科技,688737
瑞联新材,688550
何氏眼科,301103
智洋创新,688191
康冠科技,001308
华润材料,301090
跃岭股份,002725
圣邦股份,300661
温州宏丰,300283
长光华芯,688048
DR万泰生,603392
万孚生物,300482
鹏鼎控股,002938
拓新药业,301089
百诚医药,301096
亚世光电,002952
昂利康,002940
瑞德智能,301135
*ST网力,300367
贝泰妮,300957
龙软科技,688078
泛海控股,000046
美盛文化,002699
横店东磁,002056
扬杰科技,300373
春雪食品,605567
宁波方正,300998
华蓝集团,301027
中马传动,603767
金禾实业,002597
珀莱雅,603605
浙江自然,605080
华软科技,002453
澳洋健康,002172
中国人寿,601628
倍杰特,300774
纵横股份,688070
奥士康,002913
ST浩源,002700
智明达,688636
北摩高科,002985
成都银行,601838
宜安科技,300328
天威视讯,002238
长华股份,605018
热景生物,688068
富春染织,605189
昊海生科,688366
百洋股份,002696
康龙化成,300759
怡亚通,002183
电投能源,002128
真爱美家,003041
信测标准,300938
荣盛发展,002146
ST柏龙,002776
雪峰科技,603227
长江电力,600900
金瑞矿业,600714
凯撒文化,002425
哈三联,002900
南京银行,601009
兴业证券,601377
歌力思,603808
宏柏新材,605366
中达安,300635
中宠股份,002891
上声电子,688533
ST熊猫,600599
中国太保,601601
*ST园城,600766
中国平安,601318
伟星股份,002003
瑞茂通,600180
视源股份,002841
国盛金控,002670
招标股份,301136
海得控制,002184
工商银行,601398
ST金正,002470
滨江集团,002244
信立泰,002294
*ST雅博,002323
永安期货,600927
太阳电缆,002300
百龙创园,605016
浙文影业,601599
东微半导,688261
英集芯,688209
齐鲁银行,601665
宁德时代,300750
启迪环境,000826
水羊股份,300740
肇民科技,301000
ST凯乐,600260
保利发展,600048
华升股份,600156
招商银行,600036
天味食品,603317
*ST丰华,600615
亚信安全,688225
力源科技,688565
芯碁微装,688630
秋田微,300939
东方财富,300059
江山欧派,603208
兖矿能源,600188
建设银行,601939
苏州科达,603660
通化东宝,600867
创业慧康,300451
江苏吴中,600200
圣湘生物,688289
思瑞浦,688536
品渥食品,300892
新野纺织,002087
星华反光,301077
招商蛇口,001979
科沃斯,603486
镇洋发展,603213
诚意药业,603811
时代出版,600551
杭叉集团,603298
杭州柯林,688611
洋河股份,002304
ST华鼎,601113
曙光股份,600303
歌尔股份,002241
天成自控,603085
三全食品,002216
日播时尚,603196
招商证券,600999
万凯新材,301216
长城证券,002939
泰永长征,002927
新华保险,601336
惠威科技,002888
国睿科技,600562
凯普生物,300639
贝仕达克,300822
洪兴股份,001209
祥鑫科技,002965
德赛西威,002920
湘财股份,600095
退市新亿,600145
中闽能源,600163
*ST华资,600191
ST商城,600306
金地集团,600383
国发股份,600538
福达股份,603166
铁流股份,603926
宏力达,688330
中天金融,000540
中新赛克,002912
新宁物流,300013
ST文化,300089
华兰疫苗,301207
容大感光,300576
博硕科技,300951
东方生物,688298
豪森股份,688529
*ST德新,603032
广发证券,000776
传音控股,688036
联发股份,002394
佩蒂股份,300673
三晖电气,002857
大秦铁路,601006
鲁泰Ａ,000726
一鸣食品,605179
金龙机电,300032
陕西黑猫,601015
奥锐特,605116
三环集团,300408
交通银行,601328
科威尔,688551
安恒信息,688023
冰川网络,300533
正元智慧,300645
深大通,000038
北方华创,002371
传智教育,003032
平安银行,000001
万科Ａ,000002
同花顺,300033
宝钛股份,600456
九洲药业,603456
招商积余,001914
利群股份,601366
中国银河,601881
国检集团,603060
红豆股份,600400
中国银行,601988
陕国投Ａ,000563
科锐国际,300662
海能实业,300787
酷特智能,300840
三维股份,603033
博雅生物,300294
盐津铺子,002847
中信证券,600030
星球石墨,688633
迎驾贡酒,603198
华西证券,002926
粤高速Ａ,000429
宁波银行,002142
华润微,688396
上海机场,600009
江苏舜天,600287
宏华数科,688789
中信银行,601998
三旺通信,688618
ST天马,002122
爱慕股份,603511
万华化学,600309
士兰微,600460
华图山鼎,300492
沃格光电,603773
北京银行,601169
兰卫医学,301060
中晶科技,003026
申万宏源,000166
瑞可达,688800
申通快递,002468
恒辉安防,300952
祥和实业,603500
浦发银行,600000
安集科技,688019
奥美医疗,002950
财通证券,601108
*ST华塑,000509
新化股份,603867
陕西煤业,601225
智动力,300686
苏农银行,603323
健帆生物,300529
华泰证券,601688
三友联众,300932
松霖科技,603992
*ST全新,000007
兆易创新,603986
国泰君安,601211
电科数字,600850
光大证券,601788
英科再生,688087
捷荣技术,002855
中原内配,002448
苏州龙杰,603332
瑞泰科技,002066
光大银行,601818
兴业银行,601166
海天味业,603288
杭齿前进,601177
景嘉微,300474
舒泰神,300204
南微医学,688029
越秀金控,000987
中南传媒,601098
领益智造,002600
浩物股份,000757
建发股份,600153
浙商证券,601878
醋化股份,603968
宝丰能源,600989
孚日股份,002083
得润电子,002055
深华发Ａ,000020
财富趋势,688318
腾远钴业,301219
工业富联,601138
可靠股份,301009
华夏银行,600015
润阳科技,300920
海通证券,600837
中国广核,003816
三盛教育,300282
豪悦护理,605009
秦川物联,688528
上海银行,601229
张家港行,002839
中泰证券,600918
山西汾酒,600809
ST起步,603557
东航物流,601156
帅丰电器,605336
华瓷股份,001216
和科达,002816
天岳先进,688234
招商轮船,601872
中信建投,601066
*ST海创,600555
天健集团,000090
江苏租赁,600901
玉龙股份,601028
格灵深瞳,688207
华测导航,300627
华鑫股份,600621
商络电子,300975
*ST绿景,000502
国海证券,000750
郑煤机,601717
丽人丽妆,605136
亿田智能,300911
太平鸟,603877
国金证券,600109
仙琚制药,002332
华峰测控,688200
必得科技,605298
聚赛龙,301131
华业香料,300886
ST星源,000005
凯文教育,002659
ST银河,000806
嘉欣丝绸,002404
中国人保,601319
新洁能,605111
完美世界,002624
潞安环能,601699
莱伯泰科,688056
华鹏飞,300350
贵州茅台,600519
国投电力,600886
古越龙山,600059
贵阳银行,601997
古井贡酒,000596
中科曙光,603019
新集能源,601918
华能水电,600025
双汇发展,000895
昭衍新药,603127
利扬芯片,688135
歌华有线,600037
新大正,002968
新乡化纤,000949
*ST新光,002147
公牛集团,603195
拓普集团,601689
中金公司,601995
裕同科技,002831
中颖电子,300327
伊利股份,600887
盟升电子,688311
爱科科技,688092
澜起科技,688008
南都电源,300068
安奈儿,002875
今世缘,603369
瑞贝卡,600439
方正证券,601901
华康医疗,301235
大理药业,603963
瑞松科技,688090
民生银行,600016
ST步森,002569
七匹狼,002029
昊华能源,601101
邮储银行,601658
帝尔激光,300776
莱克电气,603355
好利科技,002729
太辰光,300570
三元生物,301206
东兴证券,601198
道明光学,002632
比音勒芬,002832
萃华珠宝,002731
东吴证券,601555
中集车辆,301039
蓝天燃气,605368
匠心家居,301061
美联新材,300586
荣盛石化,002493
恩捷股份,002812
金富科技,003018
中国神华,601088
三雄极光,300625
国投资本,600061
长江证券,000783
兰花科创,600123
ST中孚,600595
普丽盛,300442
云涌科技,688060
亚太药业,002370
兴齐眼药,300573
广东骏亚,603386
东北证券,000686
中牧股份,600195
西南证券,600369
东方明珠,600637
天风证券,601162
常青股份,603768
丸美股份,603983
财达证券,600906
桃李面包,603866
中密控股,300470
山东高速,600350
道森股份,603800
中航电子,600372
中公高科,603860
永泰能源,600157
国光连锁,605188
铭利达,301268
中国电信,601728
荣丰控股,000668
天奈科技,688116
中超控股,002471
华安证券,600909
渝农商行,601077
浪潮信息,000977
气派科技,688216
伟星新材,002372
深南电路,002916
天益医疗,301097
天茂集团,000627
中国重工,601989
江南水务,601199
健盛集团,603558
岩石股份,600696
康斯特,300445
中科创达,300496
西部证券,002673
富春环保,002479
新泉股份,603179
ST金鸿,000669
中微公司,688012
C宏德,301163
侨银股份,002973
杭州银行,600926
东华能源,002221
恒实科技,300513
沪硅产业,688126
ST华钰,601020
爱丽家居,603221
炬光科技,688167
道恩股份,002838
中国建筑,601668
家联科技,301193
江苏银行,600919
常熟银行,601128
菲利华,300395
和达科技,688296
东莞控股,000828
南极光,300940
北特科技,603009
力合微,688589
运机集团,001288
英派斯,002899
福昕软件,688095
中国石化,600028
太平洋,601099
中际旭创,300308
上海凤凰,600679
易德龙,603380
ST高升,000971
西上海,605151
瑞达期货,002961
博创科技,300548
韵达股份,002120
重庆啤酒,600132
梦洁股份,002397
康华生物,300841
星网锐捷,002396
东江环保,002672
斯达半导,603290
华侨城Ａ,000069
德创环保,603177
第一创业,002797
沃森生物,300142
中国软件,600536
七一二,603712
元祖股份,603886
盛美上海,688082
京新药业,002020
凤形股份,002760
电子城,600658
乐鑫科技,688018
万马股份,002276
中天科技,600522
卓易信息,688258
中航机电,002013
安彩高科,600207
华测检测,300012
至正股份,603991
星帅尔,002860
中粮资本,002423
红蜻蜓,603116
博深股份,002282
华孚时尚,002042
数字政通,300075
水晶光电,002273
神火股份,000933
华恒生物,688639
中国中车,601766
中国中铁,601390
济川药业,600566
东方环宇,603706
梦百合,603313
苏交科,300284
希荻微,688173
时代电气,688187
东富龙,300171
天宸股份,600620
新亚制程,002388
中国通号,688009
海兴电力,603556
鼎阳科技,688112
指南针,300803
金牌厨柜,603180
恒源煤电,600971
新风光,688663
豪尔赛,002963
海螺水泥,600585
蓝特光学,688127
威孚高科,000581
爱仕达,002403
中油资本,000617
依顿电子,603328
广弘控股,000529
富满微,300671
富安娜,002327
*ST松江,600225
紫金银行,601860
宏和科技,603256
迈得医疗,688310
ST海投,000616
奥康国际,603001
奥尼电子,301189
北京君正,300223
长飞光纤,601869
春兴精工,002547
信息发展,300469
ST奥马,002668
东山精密,002384
中国能建,601868
杰克股份,603337
环旭电子,601231
宝明科技,002992
火星人,300894
福晶科技,002222
福耀玻璃,600660
雷电微力,301050
英搏尔,300681
稳健医疗,300888
青农商行,002958
ST安信,600816
红相股份,300427
大胜达,603687
中富电路,300814
上海洗霸,603200
迅捷兴,688655
三房巷,600370
中航产融,600705
唐山港,601000
威龙股份,603779
深圳机场,000089
如意集团,002193
格力电器,000651
辽港股份,601880
沪农商行,601825
泸州老窖,000568
浪莎股份,600137
苏州银行,002966
王力安防,605268
海泰新光,688677
华特达因,000915
柏楚电子,688188
*ST群兴,002575
锦泓集团,603518
郑州银行,002936
景津装备,603279
海尔智家,600690
上海电气,601727
宏盛股份,603090
东晶电子,002199
中海油服,601808
中农立华,603970
安克创新,300866
西力科技,688616
山西焦化,600740
银河微电,688689
海康威视,002415
云煤能源,600792
合肥百货,000417
宁沪高速,600377
特宝生物,688278
虹软科技,688088
飞科电器,603868
金利华电,300069
晨光新材,605399
思维列控,603508
苏美达,600710
天山铝业,002532
东宝生物,300239
中原证券,601375
博实股份,002698
*ST康美,600518
大智慧,601519
扬电科技,301012
友邦吊顶,002718
新锐股份,688257
电连技术,300679
德马科技,688360
汇宇制药,688553
富吉瑞,688272
多伦科技,603528
新产业,300832
汇金通,603577
钱江摩托,000913
涪陵榨菜,002507
凯迪股份,605288
九牧王,601566
汇顶科技,603160
雅创电子,301099
开立医疗,300633
博思软件,300525
复旦微电,688385
荣晟环保,603165
桂发祥,002820
音飞储存,603066
南大光电,300346
深高速,600548
上汽集团,600104
高能环境,603588
合力泰,002217
朝阳科技,002981
凌霄泵业,002884
森林包装,605500
复旦复华,600624
芯原股份,688521
同方股份,600100
中国天楹,000035
科翔股份,300903
洪通燃气,605169
张裕Ａ,000869
川投能源,600674
口子窖,603589
森马服饰,002563
节能国祯,300388
花园生物,300401
红星发展,600367
乐通股份,002319
力鼎光电,605118
*ST凯瑞,002072
汤臣倍健,300146
爱克股份,300889
华锦股份,000059
福鞍股份,603315
宇新股份,002986
德林海,688069
国联证券,601456
三江购物,601116
奥精医疗,688613
皇马科技,603181
*ST赫美,002356
力芯微,688601
五矿资本,600390
航天电器,002025
安洁科技,002635
共创草坪,605099
莱特光电,688150
上港集团,600018
顺络电子,002138
中国联通,600050
生益科技,600183
银都股份,603277
江南奕帆,301023
深圳华强,000062
天宇股份,300702
山西证券,002500
拉芳家化,603630
五粮液,000858
上海新阳,300236
哈投股份,600864
益丰药房,603939
味知香,605089
汉王科技,002362
水井坊,600779
新城控股,601155
牧原股份,002714
派能科技,688063
太和水,605081
江苏国信,002608
海昌新材,300885
达威股份,300535
艾华集团,603989
山鹰国际,600567
华立科技,301011
海象新材,003011
埃夫特,688165
浙能电力,600023
建霖家居,603408
云南白药,000538
华东医药,000963
越剑智能,603095
若羽臣,003010
西安银行,600928
*ST节能,000820
常熟汽饰,603035
本立科技,301065
和辉光电,688538
万朗磁塑,603150
长电科技,600584
田中精机,300461
同力日升,605286
爱建集团,600643
太阳纸业,002078
美格智能,002881
朗科智能,300543
厦门银行,601187
移远通信,603236
兴业股份,603928
协鑫能科,002015
威高骨科,688161
ST海越,600387
ST三五,300051
青岛啤酒,600600
雅运股份,603790
ST辉丰,002496
搜于特,002503
晨光股份,603899
ST瀚叶,600226
信维通信,300136
大华股份,002236
浙商银行,601916
长阳科技,688299
唯赛勃,688718
凯莱英,002821
汇洁股份,002763
首药控股,688197
新湖中宝,600208
金迪克,688670
西麦食品,002956
保立佳,301037
陆家嘴,600663
聚石化学,688669
探路者,300005
德昌股份,605555
青岛港,601298
洛凯股份,603829
三孚股份,603938
金科环境,688466
图南股份,300855
富信科技,688662
中煤能源,601898
翔港科技,603499
广百股份,002187
苏泊尔,002032
哈森股份,603958
凯美特气,002549
洽洽食品,002557
三棵树,603737
长沙银行,601577
汇得科技,603192
宏英智能,001266
芯朋微,688508
瀚蓝环境,600323
东威科技,688700
会通股份,688219
凯尔达,688255
鼎通科技,688668
雷迪克,300652
京沪高铁,601816
四方光电,688665
中科软,603927
航发控制,000738
康德莱,603987
吴通控股,300292
海汽集团,603069
烽火通信,600498
国药一致,000028
华兰股份,301093
神工股份,688233
双鹭药业,002038
芯海科技,688595
珠江钢琴,002678
斯迪克,300806
麦格米特,002851
一汽解放,000800
东尼电子,603595
浙江东方,600120
上海贝岭,600171
中原传媒,000719
中国移动,600941
闻泰科技,600745
ST信通,600289
方大特钢,600507
宁波色母,301019
百隆东方,601339
兰剑智能,688557
好想你,002582
桂冠电力,600236
吉林敖东,000623
招商公路,001965
冀中能源,000937
奥泰生物,688606
哈药股份,600664
国创高新,002377
博士眼镜,300622
广联达,002410
威星智能,002849
莱宝高科,002106
卫士通,002268
泰坦股份,003036
首创环保,600008
吉比特,603444
中国一重,601106
艾隆科技,688329
深天马Ａ,000050
海大集团,002311
恒久科技,002808
蓝盾光电,300862
国元证券,000728
杭州高新,300478
威腾电气,688226
伟思医疗,688580
理工能科,002322
唯科科技,301196
万和电气,002543
微光股份,002801
谱尼测试,300887
申能股份,600642
外高桥,600648
中际联合,605305
新宏泽,002836
雷赛智能,002979
唐源电气,300789
闰土股份,002440
重庆银行,601963
四方达,300179
金盘科技,688676
神宇股份,300563
新宏泰,603016
奥瑞金,002701
雅戈尔,600177
航天电子,600879
香山股份,002870
乔治白,002687
仁智股份,002629
掌趣科技,300315
中航电测,300114
濮耐股份,002225
科大讯飞,002230
五方光电,002962
燕塘乳业,002732
地素时尚,603587
江阴银行,002807
无锡银行,600908
片仔癀,600436
通润装备,002150
元隆雅图,002878
*ST星星,300256
瑞晟智能,688215
协和电子,605258
新经典,603096
华光新材,688379
安正时尚,603839
华能国际,600011
安路科技,688107
万里石,002785
平煤股份,601666
洁特生物,688026
春光科技,603657
胜宏科技,300476
泰格医药,300347
同和药业,300636
世荣兆业,002016
远大控股,000626
漫步者,002351
石基信息,002153
中国铁建,601186
四创电子,600990
共进股份,603118
鸿路钢构,002541
博通集成,603068
人福医药,600079
德宏股份,603701
老百姓,603883
华控赛格,000068
燕京啤酒,000729
九芝堂,000989
润邦股份,002483
三圣股份,002742
恩华药业,002262
迪安诊断,300244
路德环境,688156
卫宁健康,300253
欧派家居,603833
国光电气,688776
欧普照明,603515
江苏有线,600959
中瓷电子,003031
电魂网络,603258
傲农生物,603363
安必平,688393
中山公用,000685
金田铜业,601609
ST通葡,600365
盛剑环境,603324
佰仁医疗,688198
徐工机械,000425
海澜之家,600398
新坐标,603040
宝通科技,300031
黑芝麻,000716
新澳股份,603889
亚士创能,603378
有友食品,603697
深信服,300454
有研新材,600206
国星光电,002449
华阳集团,002906
富佳股份,603219
联诚精密,002921
文灿股份,603348
交大思诺,300851
隆盛科技,300680
中交地产,000736
欣龙控股,000955
先惠技术,688155
锦富技术,300128
东阿阿胶,000423
深科技,000021
晶方科技,603005
金马游乐,300756
传艺科技,002866
中信出版,300788
百奥泰,688177
中金环境,300145
亚星客车,600213
*ST中迪,000609
中国动力,600482
杭华股份,688571
元力股份,300174
长源东谷,603950
奥拓电子,002587
安达智能,688125
中科星图,688568
江泉实业,600212
京能电力,600578
*ST景谷,600265
周大生,002867
睿创微纳,688002
中谷物流,603565
养元饮品,603156
龙版传媒,605577
联德股份,605060
思进智能,003025
际华集团,601718
国恩股份,002768
联美控股,600167
承德露露,000848
天佑德酒,002646
华谊兄弟,300027
重庆水务,601158
明阳智能,601615
伟时电子,605218
光明乳业,600597
九联科技,688609
长盛轴承,300718
中国出版,601949
益客食品,301116
招商南油,601975
迈赫股份,301199
华微电子,600360
全志科技,300458
百济神州,688235
华电能源,600726
利安隆,300596
火炬电子,603678
新潮能源,600777
正裕工业,603089
奥佳华,002614
四通股份,603838
华生科技,605180
中国交建,601800
贵州轮胎,000589
澳华内镜,688212
巨人网络,002558
华丰股份,605100
华域汽车,600741
绝味食品,603517
联测科技,688113
东芯股份,688110
振邦智能,003028
碳元科技,603133
*ST天成,600112
圆通速递,600233
道通科技,688208
易成新能,300080
云维股份,600725
中国汽研,601965
亿联网络,300628
生意宝,002095
力合科技,300800
淮北矿业,600985
思林杰,688115
金域医学,603882
美的集团,000333
祖名股份,003030
致远互联,688369
中远海控,601919
东旭光电,000413
东诚药业,002675
艾力斯,688578
华凯创意,300592
广州港,601228
通富微电,002156
盛路通信,002446
迈瑞医疗,300760
ST弘高,002504
星宇股份,601799
步长制药,603858
恒立液压,601100
铁科轨道,688569
德利股份,605198
中芯国际,688981
内蒙一机,600967
绿田机械,605259
金山办公,688111
鲁商发展,600223
新强联,300850
华铁应急,603300
华荣股份,603855
洪城环境,600461
丽臣实业,001218
思源电气,002028
爱玛科技,603529
国盾量子,688027
海翔药业,002099
京东方Ａ,000725
苏试试验,300416
霍莱沃,688682
江苏北人,688218
兴业科技,002674
ST云投,002200
恒力石化,600346
北元集团,601568
芯瑞达,002983
ST安泰,600408
东鹏饮料,605499
航发动力,600893
风神股份,600469
诺邦股份,603238
辉隆股份,002556
韦尔股份,603501
佳华科技,688051
苑东生物,688513
沪光股份,605333
瑞芯微,603893
新和成,002001
中航高科,600862
华利集团,300979
值得买,300785
天创时尚,603608
中国铝业,601600
景旺电子,603228
菜百股份,605599
沐邦高科,603398
深圳燃气,601139
天正电气,605066
悦康药业,688658
九号公司,689009
豪迈科技,002595
成都燃气,603053
绿茵生态,002887
白云山,600332
中联重科,000157
智飞生物,300122
三六零,601360
弘宇股份,002890
三七互娱,002555
ST方科,600601
三星新材,603578
中熔电气,301031
皖天然气,603689
宝兰德,688058
晨光生物,300138
焦作万方,000612
塔牌集团,002233
汉得信息,300170
博杰股份,002975
华数传媒,000156
欧科亿,688308
金宏气体,688106
中大力德,002896
海川智能,300720
赣粤高速,600269
秦港股份,601326
均普智能,688306
优利德,688628
九丰能源,605090
浔兴股份,002098
青岛银行,002948
新能泰山,000720
凌志软件,688588
德邦股份,603056
华西股份,000936
辽宁成大,600739
华峰化学,002064
恒玄科技,688608
捷安高科,300845
南华期货,603093
新华网,603888
宇通客车,600066
科新发展,600234
光云科技,688365
老凤祥,600612
中国巨石,600176
至纯科技,603690
聚光科技,300203
艾迪精密,603638
世华科技,688093
航宇科技,688239
奕东电子,301123
嘉元科技,688388
亨通光电,600487
今飞凯达,002863
全通教育,300359
蒙草生态,300355
泛微网络,603039
绿色动力,601330
路畅科技,002813
必创科技,300667
澳弘电子,605058
*ST银亿,000981
洁雅股份,301108
老白干酒,600559
常山北明,000158
大地海洋,301068
宝信软件,600845
辰安科技,300523
天地科技,600582
*ST海航,600221
恒丰纸业,600356
有研粉材,688456
松芝股份,002454
苏州固锝,002079
红日药业,300026
中兴通讯,000063
华帝股份,002035
新点软件,688232
新媒股份,300770
易天股份,300812
金圆股份,000546
长川科技,300604
江苏新能,603693
鄂武商Ａ,000501
旗滨集团,601636
东方网络,002175
康弘药业,002773
科安达,002972
安琪酵母,600298
中国宝安,000009
上海能源,600508
欧亚集团,600697
鲁信创投,600783
成大生物,688739
长信科技,300088
西菱动力,300733
舍得酒业,600702
卓胜微,300782
碧水源,300070
祥源新材,300980
宝泰隆,601011
科陆电子,002121
甬金股份,603995
华策影视,300133
昂立教育,600661
崇达技术,002815
骏成科技,301106
奥普家居,603551
建龙微纳,688357
北京科锐,002350
中控技术,688777
国中水务,600187
皖能电力,000543
惠程科技,002168
宏达新材,002211
立方数科,300344
开山股份,300257
禾信仪器,688622
丰原药业,000153
宇瞳光学,300790
燕麦科技,688312
茶花股份,603615
路通视信,300555
中恒集团,600252
东来技术,688129
正丹股份,300641
京华激光,603607
广和通,300638
精研科技,300709
国新文化,600636
海思科,002653
克明食品,002661
锦鸡股份,300798
新炬网络,605398
复洁环保,688335
北巴传媒,600386
园林股份,605303
秀强股份,300160
辰欣药业,603367
茂业商业,600828
松井股份,688157
宗申动力,001696
派克新材,605123
天赐材料,002709
禾盛新材,002290
京源环保,688096
秦川机床,000837
航天宏图,688066
诺泰生物,688076
浩云科技,300448
奇安信,688561
博众精工,688097
三孚新科,688359
天士力,600535
上海石化,600688
神力股份,603819
概伦电子,688206
深圳瑞捷,300977
远东传动,002406
上海家化,600315
新亚电子,605277
怡球资源,601388
现代投资,000900
海洋王,002724
恒为科技,603496
佛山照明,000541
华兰生物,002007
国电电力,600795
大元泵业,603757
中视传媒,600088
曲美家居,603818
健之佳,605266
一品红,300723
珠江啤酒,002461
银河电子,002519
中国医药,600056
英力股份,300956
三夫户外,002780
新乳业,002946
立昂微,605358
中光学,002189
金莱特,002723
海容冷链,603187
开元教育,300338
酒鬼酒,000799
研奥股份,300923
吉林化纤,000420
莫高股份,600543
凯中精密,002823
爱柯迪,600933
鼎龙股份,300054
福建高速,600033
华茂股份,000850
艾艾精工,603580
永冠新材,603681
银轮股份,002126
新国脉,600640
福龙马,603686
盐田港,000088
广汇汽车,600297
康泰生物,300601
安图生物,603658
浩欧博,688656
迪森股份,300335
华兴源创,688001
山河药辅,300452
开滦股份,600997
ST冠福,002102
光弘科技,300735
奇精机械,603677
金杯电工,002533
日盈电子,603286
新易盛,300502
富森美,002818
汇创达,300909
纳微科技,688690
惠博普,002554
正海生物,300653
仙鹤股份,603733
超频三,300647
宝丽迪,300905
锦浪科技,300763
好莱客,603898
创力集团,603012
永艺股份,603600
ST雪莱,002076
宁波东力,002164
迪哲医药,688192
云铝股份,000807
森霸传感,300701
华通线缆,605196
瑞丰银行,601528
爱施德,002416
广州发展,600098
绿地控股,600606
保力新,300116
九阳股份,002242
扬农化工,600486
康缘药业,600557
浙矿股份,300837
北京城乡,600861
东贝集团,601956
倍加洁,603059
生益电子,688183
未来股份,600532
申通地铁,600834
上海临港,600848
佛燃能源,002911
鸿合科技,002955
水星家纺,603365
特发信息,000070
华尔泰,001217
*ST华英,002321
飞凯材料,300398
中国电影,600977
朗科科技,300042
山科智能,300897
金达莱,688057
南新制药,688189
大众公用,600635
坤彩科技,603826
浙江龙盛,600352
博迁新材,605376
泰尔股份,002347
芒果超媒,300413
中电兴发,002298
王府井,600859
隆华科技,300263
固德威,688390
华光环能,600475
白银有色,601212
密尔克卫,603713
上海电力,600021
中科通达,688038
奥普特,688686
天禄科技,301045
三星医疗,601567
依依股份,001206
富淼科技,688350
启明星辰,002439
朗进科技,300594
山东出版,601019
ST贵人,603555
亚虹医药,688176
*ST大集,000564
中国船舶,600150
节能铁汉,300197
春立医疗,688236
渤海租赁,000415
日月明,300906
深康佳Ａ,000016
长青集团,002616
浩通科技,301026
宝钢股份,600019
海峡股份,002320
海特生物,300683
千禾味业,603027
格林精密,300968
君亭酒店,301073
凯众股份,603037
海格通信,002465
东风股份,601515
福莱新材,605488
德业股份,605117
世茂能源,605028
西部创业,000557
华西能源,002630
科德教育,300192
杭可科技,688006
ST远程,002692
天臣医疗,688013
国力股份,688103
佳士科技,300193
新华锦,600735
长盈精密,300115
航天彩虹,002389
宁波港,601018
药石科技,300725
上海建工,600170
江苏阳光,600220
模塑科技,000700
科汇股份,688681
